"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Arab World","ARB","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.784172865218699","0.798414238352011","0.688660173619729","0.689267603450095","0.70363390198364","0.680416234300619","0.593507094262889","0.600153614542221","0.602360753035313","0.586049417038416","0.454064797085437","0.440132485059981","0.428270306186348","0.388143316068199","0.358740698996486","0.327711606018326","0.30434187417216","0.308074828605637","0.26897099383024","0.32195225614744","0.300893687325218","0.273925677722071","0.26995549172165","0.273017905070153","0.268457503030103","0.305582804094674","0.293908171175477","0.277644518168273","","",
"Arab World","ARB","Changes in inventories (current LCU)","NE.GDI.STKB.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)","SP.DTH.INFR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Coverage of social insurance programs in 3rd quintile (% of population)","per_si_allsi.cov_q3_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","DT.TDS.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Demand for family planning satisfied by modern methods (% of married women with demand for family planning)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","11.3921620265664","11.9988952954036","12.187792442768","12.4866474722239","11.1829371236341","13.0623673753408","13.0859486946647","13.1778283071744","14.2743922215212","15.2020511737123","13.9877028652059","13.8713703900282","15.6931431935394","16.0788658276688","11.4199113165256","14.0925469163856","14.9632867211639","16.4782371005123","19.2971340444162","18.8453523505275","17.1263256098157","19.1625961161071","24.0557845360629","28.0160312935585","29.9740240804117","32.359860455","38.1210194325157","37.7456158741504","39.0210522358686","36.1246094412759","27.2198950978672","25.0111730459851","21.4238081814596","22.6981779537314","24.7284372157802","26.4143142295779","25.9761991841602","28.8833074639864","34.8052076238536","34.9725461745547","32.5495840921642","34.7240735161223","35.5807692303068","34.5059070415315","33.6938074192226","34.6953524614608","34.8547661917958","38.0936867880618","39.9591306115174","46.9197538128084","42.3037783739339","38.8994158104763","37.4085503852981","39.1670719002103","42.8503184224758","52.2403544503099","55.9647694075006","53.5084797631314","","",
"Arab World","ARB","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (current LCU)","NE.CON.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
